0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:12:19 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:12:57 -0300] "GET /arcoiris/pages/admin/book.html HTTP/1.1" 200 2681
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:12:57 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:12:57 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:12:57 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:12:57 -0300] "GET /arcoiris/js/book.js HTTP/1.1" 200 8345
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:12:57 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:12:57 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:12:57 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:12:57 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:16:03 -0300] "GET /arcoiris/pages/admin/book.html HTTP/1.1" 200 2738
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:16:03 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:16:03 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:16:03 -0300] "GET /arcoiris/js/book.js HTTP/1.1" 200 8345
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:16:03 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:16:03 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:16:03 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:16:03 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:16:03 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:20:50 -0300] "GET /arcoiris/ HTTP/1.1" 200 3259
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:20:50 -0300] "GET /arcoiris/css/login.css HTTP/1.1" 200 1638
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:20:50 -0300] "GET /arcoiris/js/login.js HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:20:50 -0300] "GET /arcoiris/imgs/raimbow.png HTTP/1.1" 200 42383
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:20:50 -0300] "GET /arcoiris/imgs/user.png HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:20:56 -0300] "POST /arcoiris/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:20:56 -0300] "GET /arcoiris/pages/admin/book.html HTTP/1.1" 200 2468
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:20:56 -0300] "GET /arcoiris/js/book.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:20:56 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:20:56 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:20:56 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:21:13 -0300] "GET /arcoiris/pages/admin/book.html HTTP/1.1" 200 2424
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:21:13 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:21:13 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:21:13 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:23:39 -0300] "GET /arcoiris/pages/homr.html HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:23:45 -0300] "GET /arcoiris/pages/home.html HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:23:45 -0300] "GET /arcoiris/css/home.css HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:23:45 -0300] "GET /arcoiris/imgs/magnifying-glass-solid.svg HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:23:45 -0300] "GET /arcoiris/js/home.js HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:23:45 -0300] "GET /arcoiris/imgs/filter.png HTTP/1.1" 200 4611
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:23:45 -0300] "GET /arcoiris/pages/general/header.html HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:38 -0300] "GET /arcoiris/pages/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:45 -0300] "GET /arcoiris/index.html HTTP/1.1" 200 3259
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:49 -0300] "POST /arcoiris/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:49 -0300] "GET /arcoiris/pages/admin/book.html HTTP/1.1" 200 2526
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:49 -0300] "GET /arcoiris/pages/imgs/filter.png HTTP/1.1" 404 778
